カテゴリーID,動画ID,製品タイトル,カテゴリー,コンテンツタイトル,コンテンツ概要
ESY-02,ESY0205S,　社会　小学校社会３・４年　みんなの上水道　しくみとはたらき,みんなの下水道　しくみとはたらき,下水道のしくみ　ポンプ所,下水道の下水をいったん集めるポンプ所のやくわりを見ます。（1分17秒）
ESY-02,ESY0206S,　社会　小学校社会３・４年　みんなの上水道　しくみとはたらき,みんなの下水道　しくみとはたらき,下水道のしくみ　下水しょり場,下水処理場で下水がきれいにされる仕組み、残った汚泥（おでい）を使ってつくられるもの、処理された水の再利用などを見ます。（4分）
ESY-02,ESY0207S,　社会　小学校社会３・４年　みんなの上水道　しくみとはたらき,みんなの下水道　しくみとはたらき,下水道の歴史と下水道を守る人々,明治時代に始まった日本の下水道の歴史。その後の進歩と、現在のようすを見ます。（1分57秒）
ESY-02,ESY0208S,　社会　小学校社会３・４年　みんなの上水道　しくみとはたらき,みんなの下水道　しくみとはたらき,下水道の正しい使い方,大切な下水道です。正しい使い方をしましょう。（51秒）
ESY-02,ESY0209S,　社会　小学校社会３・４年　みんなの上水道　しくみとはたらき,みんなの下水道　しくみとはたらき,下水道の大切さを考えよう,下水処理にかかわる人々の苦労や、下水道の大切さを考えて使っていくことが求められています。（1分27秒）
ESY-SET08-01,ESY0100S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの上水道　しくみとはたらき,全編をみる,全編を再生します。（15分）
ESY-SET08-01,ESY0101S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの上水道　しくみとはたらき,水道が使えなくなったら,毎日使う水。この水が地しんなどの災害や雨不足で使えなくなることがあります。（1分30秒）
ESY-SET08-01,ESY0102S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの上水道　しくみとはたらき,水道の水の役わり,水は、毎日の生活に欠かせないものです。大切な水を毎日どれくらい使っているか、調べます。（1分42秒）
ESY-SET08-01,ESY0103S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの上水道　しくみとはたらき,水道の水がどこから来るのか調べる,水道水がじゃ口までどのようにやってくるか調べるために、役所で資料をもらってきました。（58秒）
ESY-SET08-01,ESY0104S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの上水道　しくみとはたらき,水の旅　水源林とダム,山や森に降った雨や雪が長い時間をかけて流れ出た川。川をせき止めてつくったダム。ダムを「水色」とすると、雪は「白いダム」、森は「緑のダム」といえます。（1分29秒）
ESY-SET08-01,ESY0105S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの上水道　しくみとはたらき,水の旅　川,流れとなった川は、上流から流れ下るにつれて川幅が広がります。水は取水ぜきで水道水用に取り入れられます。（32秒）
ESY-SET08-01,ESY0106S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの上水道　しくみとはたらき,水の旅　じょう水場,取水口から取り入れられた水は、浄水場のいろいろな処理施設を経て、きれいにされていきます。（1分30秒）
ESY-SET08-01,ESY0107S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの上水道　しくみとはたらき,水の旅　給水所,浄水場できれいになった水を、使う場所に合わせて配水する給水所のやくわりを見ます。（1分15秒）
ESY-SET08-01,ESY0108S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの上水道　しくみとはたらき,水道の歴史と水道を守る人々,日本で初めての水道は江戸時代でした。その後、時代とともに移り変わり、現在ではコンピュータで管理された水道があります。水が水源を出て、じゃ口に着くまで多くの人々によって水道は守られています。（2分47秒）
ESY-SET08-01,ESY0109S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの上水道　しくみとはたらき,水をむだ使いしないくふう,現在行われている水の再利用、雨水の利用などの取り組みを見ます。私たちにできる水のむだづかいをなくすくふうを考えます。（1分1秒）
ESY-SET08-01,ESY0110S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの上水道　しくみとはたらき,水の大切さを考えよう,当たり前のように使っている水、その大切さをあらためて考え、むだにしないくふうをしましょう。（1分15秒）
ESY-SET08-02,ESY0200S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの下水道　しくみとはたらき,全編をみる,全編を再生します。（15分）
ESY-SET08-02,ESY0201S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの下水道　しくみとはたらき,下水が使えなくなったら,下水がつまってこまったミカちゃん。下水が流れなくなったら、どうなるか考えましょう。（1分00秒）
ESY-SET08-02,ESY0202S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの下水道　しくみとはたらき,下水道の役わり,よごれた水がそのまま海や川に流れ出ないように、いったん集める下水道のやくわりを知りましょう。（1分20秒）
ESY-SET08-02,ESY0203S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの下水道　しくみとはたらき,よごれた水のゆくえを調べる,下水道の仕組みに興味を持ったユウスケくんとミカちゃん。調べるために資料を集めます。（43秒）
ESY-SET08-02,ESY0204S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの下水道　しくみとはたらき,下水道のしくみ　下水道管,下水がまず集められるところは、下水道管です。下水道管は地下をあみの目のように、通っています。（1分30秒）
ESY-SET08-02,ESY0205S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの下水道　しくみとはたらき,下水道のしくみ　ポンプ所,下水道の下水をいったん集めるポンプ所のやくわりを見ます。（1分17秒）
ESY-SET08-02,ESY0206S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの下水道　しくみとはたらき,下水道のしくみ　下水しょり場,下水処理場で下水がきれいにされる仕組み、残った汚泥（おでい）を使ってつくられるもの、処理された水の再利用などを見ます。（4分）
ESY-SET08-02,ESY0207S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの下水道　しくみとはたらき,下水道の歴史と下水道を守る人々,明治時代に始まった日本の下水道の歴史。その後の進歩と、現在のようすを見ます。（1分57秒）
ESY-SET08-02,ESY0208S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの下水道　しくみとはたらき,下水道の正しい使い方,大切な下水道です。正しい使い方をしましょう。（51秒）
ESY-SET08-02,ESY0209S,小学校　３・４年　社会　みんなの上下水道　しくみとはたらき,みんなの下水道　しくみとはたらき,下水道の大切さを考えよう,下水処理にかかわる人々の苦労や、下水道の大切さを考えて使っていくことが求められています。（1分27秒）
ETK-SET01-01,ETK0010S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,ボール操作,いろいろなものを投げる①,投げる動きが含まれた遊びをたくさんすると、ボールの投げ方が上手になります。ボール投げの練習になる、紙飛行機、紙鉄砲、こま回しを紹介します。(1分46秒)
ETK-SET01-01,ETK0020S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,ボール操作,投げ上げとり,自分でボールを投げたりとったりして、ボールと仲良く遊べるくふうを紹介します。(2分23秒)
ETK-SET01-01,ETK0030S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,ボール操作,壁ぶつけ,壁ぶつけを例に、ボールの正しい投げ方を説明します。(2分33秒)
ETK-SET01-01,ETK0040S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,ボール操作,いろいろなものを投げる②,だ円球とフライングディスクの持ち方・投げ方を紹介します。(2分28秒)
ETK-SET01-01,ETK0050S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,ボール操作,キャッチボール,キャッチボールの投げ方・とり方のポイントを説明します。また、ボールを転がしたり投げ上げたりして、キャッチボールをくふうする方法を紹介します。(2分24秒)
ETK-SET01-01,ETK0060S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,ボール操作,バスケットボールのシュート,バスケットボールの持ち方・投げ方・シュートの仕方を説明します。(3分20秒)
ETK-SET01-01,ETK0070S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,ボール操作,ボールをつく・はじく（１人で）,1人でできるいろいろなボールのつき方を紹介します。また、手を組んでボールをはじく方法と手をハの字にしてはじく方法を説明します。(3分8秒)
ETK-SET01-01,ETK0080S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,ボール操作,ボールをつく・はじく（２人で）,バスケットボールとソフトバレーボールを使って、友達と2人でできるいろいろなパス遊びを紹介します。(2分49秒)
ETK-SET01-01,ETK0090S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,ボール操作,ボールをける①インステップ,ボールを強くけることができるインステップキックのけり方を紹介します。(2分8秒)
ETK-SET01-01,ETK0720S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,ボール操作,ボールをける②インサイド・アウトサイド,足の内側を使ったインサイドキックと、足の外側を使ったアウトサイドキックのけり方を紹介します。(2分52秒)
ETK-SET01-01,ETK0100S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,ボール操作,ボールを止める,パスをもらうときに、ボールを上手に止められるようになると、サッカーがさらに面白くなります。体のいろいろな部分を使った、ボールの止め方を紹介します。(2分28秒)
ETK-SET01-01,ETK0730S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,ボール操作,パス,ボールをけってパスをするときのポイントや注意点を紹介します。また、パスを使ったゲームの「パスアンドゴー」と「パスおにごっこ」を紹介します。(3分28秒)
ETK-SET01-02,ETK0110S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,陸上,動きを高めるゲーム,遊びやゲームの中には、陸上運動の基本的な動きがたくさんかくれています。 ここでは、おいかけっこ・ドンじゃんけん・けんけんリレー・グリコじゃんけん・おにあそびを紹介します。(7分56秒)
ETK-SET01-02,ETK0121S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,陸上,短距離走,短い距離を、速く走るためのポイントや練習のしかたを紹介します。(6分20秒)
ETK-SET01-02,ETK0131S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,陸上,走り幅跳び,走り幅跳びで遠くに跳ぶためのポイントや練習のしかたを紹介します。(6分38秒)
ETK-SET01-02,ETK0141S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,陸上,走り高跳び,走り高跳びにはいくつかの跳び方がありますが、ここでは、安全に足から着地できる「またぎ跳び越し」を紹介します。(6分24秒)
ETK-SET01-02,ETK0151S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,陸上,ハードル走,ハードルを、リズミカルに、またぎ越すように走るためのポイントや練習のしかたを紹介します。(6分58秒)
ETK-SET01-03,ETK0160S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,短なわとび,なわの操作,なわの正しい持ち方・長さ・回し方など、なわとびの大切な基本を紹介します。また、なわとびのリズムやタイミングをつかめる「ふた踏みとび」と「かけ足とび」の跳び方も紹介します。(8分41秒)
ETK-SET01-03,ETK0170S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,短なわとび,前とび,「前とび」とは、なわを前に回して両足で跳ぶ跳び方です。上手に跳ぶためのポイントと練習のしかたを紹介します。(2分31秒)
ETK-SET01-03,ETK0180S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,短なわとび,後ろとび,「後ろとび」とは、なわを後ろに回して両足で跳ぶ跳び方です。上手に跳ぶためのポイントと練習のしかたを紹介します。(2分23秒)
ETK-SET01-03,ETK0190S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,短なわとび,あやとび,「あやとび」とは、腕を閉じたり開いたりして跳ぶ跳び方です。上手に跳ぶためのポイントを紹介します。(2分41秒)
ETK-SET01-03,ETK0200S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,短なわとび,交差とび,「交差とび」とは、腕を交差させたまま跳ぶ跳び方です。上手に跳ぶためのポイントや練習のしかたを紹介します。(2分27秒)
ETK-SET01-03,ETK0210S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,短なわとび,サイドクロス,「サイドクロス」とは、左右の脇回しと交差とびを組み合わせた跳び方です。上手に跳ぶためのポイントや練習のしかたを紹介します。(2分13秒)
ETK-SET01-03,ETK0220S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,短なわとび,二重回し,前半は、「二重回し」を1回跳ぶためのポイント・悪い例・練習のしかたを紹介します。後半は、「二重回し」を連続で跳ぶための方法を紹介します。(7分4秒)
ETK-SET01-03,ETK0230S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,短なわとび,いろいろな二重回し,「あやとびの二重回し」・「交差とびの二重回し」・「後ろとびの二重回し」を紹介します。それぞれ、上手に跳ぶためのポイントと練習のしかたも紹介します。(4分)
ETK-SET01-03,ETK0240S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,短なわとび,２人とび・シンクロとび,なわとびを、友達と一緒に跳ぶと楽しく遊べます。ここでは、友達と協力しながら跳ぶ「2人とび」と、友達と動きを合わせて跳ぶ「シンクロとび」を紹介します。(5分21秒)
ETK-SET01-03,ETK0250S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,短なわとび,なわとびリレー,チームに分かれて、二重回しでリレー競争するようすを紹介します。(2分17秒)
ETK-SET01-04,ETK0260S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,跳び箱,スキップ・ケンケン・ケンパー,簡単な運動の中から、跳び箱の感覚をつかむことができます。ここでは、スキップ・ケンケン・ケンパーを紹介します。(1分42秒)
ETK-SET01-04,ETK0270S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,跳び箱,馬とび１,「馬とび」とは、1人が馬のような形になり、もう1人がそれを跳び越す運動です。低い馬→少し高い馬→高い馬→板目数え馬とびの順に紹介します。(3分33秒)
ETK-SET01-04,ETK0280S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,跳び箱,馬とび２,「馬とび」を連続で跳んだり、みんなで競争したりしすると楽しく遊べます。ここでは、連続馬とび・2連続馬とび・馬とび競争を紹介します。(2分14秒)
ETK-SET01-04,ETK0290S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,跳び箱,とび上がり,跳び箱の上に、ひざや足の裏で跳び乗る運動を紹介します。このような運動は、跳び箱の基本的な動きや感覚づくりにつながります。(1分23秒)
ETK-SET01-04,ETK0300S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,跳び箱,またぎこし,踏み切り板を使って、ひざくらいの高さの跳び箱をまたぎこす運動を紹介します。このような運動は、跳び箱の基本的な動きや感覚づくりにつながります。(1分29秒)
ETK-SET01-04,ETK0310S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,跳び箱,開きゃくとび,「開きゃくとび」は、跳び箱運動の代表的な技です。上手に跳ぶためのポイント・悪い例・練習のしかたを紹介します。(2分52秒)
ETK-SET01-04,ETK0320S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,跳び箱,かかえこみとび,「かかえこみとび」は、ひざをかかえるように跳び越す跳び方です。上手に跳ぶためのポイント・悪い例・練習のしかたを紹介します。(2分30秒)
ETK-SET01-04,ETK0330S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,跳び箱,台上前転,「台上前転」は、両足で踏み切り、跳び箱の上で前転をする技です。上手に跳ぶためのポイントと練習のしかたを紹介します。(3分32秒)
ETK-SET01-04,ETK0340S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,跳び箱,首はねとび,「首はねとび」は、両足で踏み切り、跳び箱の上に首の後ろをつけてはねる技です。ポイントと練習のしかたを紹介します。(2分1秒)
ETK-SET01-04,ETK0350S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,跳び箱,頭はねとび,「頭はねとび」は、両足で踏み切り、頭を跳び箱につけて、一気にはねる技です。ポイントと練習のしかたを紹介します。(2分9秒)
ETK-SET01-04,ETK0360S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,跳び箱,ハンドスプリング,「ハンドスプリング」は、首や頭をつけずに、手だけではねるダイナミックな技です。ポイントと練習のしかたを紹介します。(2分27秒)
ETK-SET01-05,ETK0370S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,鉄棒,つばめ・自転車こぎ・前回り下り,鉄棒に跳び上がって手で体を支える「つばめ」、つばめの姿勢から足を動かす「自転車こぎ」、前に回って下りる「前回り下り」などの運動を紹介します。(5分1秒)
ETK-SET01-05,ETK0380S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,鉄棒,ふとんほし,鉄棒にぶら下がって手を離す「ふとんほし」のポイントを紹介します。また、逆上がりの運動につながる「ふとんほしからの起き上がり」や「ふとんほしジャンケン」なども紹介します。(3分18秒)
ETK-SET01-05,ETK0390S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,鉄棒,ダンゴ虫,腕とひざを曲げて鉄棒にぶら下がる「ダンゴ虫」のポイントを紹介します。また、ダンゴ虫の姿勢を何秒続けられるかを競う「ダンゴ虫競争」のようすも紹介します。(2分26秒)
ETK-SET01-05,ETK0400S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,鉄棒,よじ登り・とびおり,鉄棒によじ登る「よじ登り」と鉄棒の上から飛び降りる「とびおり」の、体の使い方やバランスのとり方のポイントを紹介します。(1分43秒)
ETK-SET01-05,ETK0410S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,鉄棒,足ぬき回り・登り棒での後ろ回り,鉄棒にぶら下がって足を後ろと前にぬく「足ぬき回り」や、のぼり棒を使った「登り棒での後ろ回り」など、逆上がりにつながる2つの運動のポイントを紹介します。(4分3秒)
ETK-SET01-05,ETK0420S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,鉄棒,こうもり,鉄棒に両足をかけてぶら下がる「こうもり」の姿勢のポイントや、下り方について解説します。また、こうもりの姿勢で行うジャンケンゲームのようすも紹介します。(4分5秒)
ETK-SET01-05,ETK0430S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,鉄棒,逆上がり１,代表的な鉄棒運動の一つである「逆上がり」のポイントについて、悪い例などを挙げながら解説します。また、逆上がりにつながる運動や、練習のしかたなどについても紹介します。(4分20秒)
ETK-SET01-05,ETK0440S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,鉄棒,逆上がり２,逆上がりを続けて回る「連続逆上がり」や「高い鉄棒での逆上がり」などに挑戦するようすを紹介します。(1分58秒)
ETK-SET01-05,ETK0450S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,鉄棒,だるま回り１,ひじで鉄棒を支え、ももを持って回転する「だるま回り」のポイントや悪い例を紹介します。(3分53秒)
ETK-SET01-05,ETK0460S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,鉄棒,だるま回り２,手を交差させた「だるま回り」や、後ろに回る「だるま回り」などを紹介します。また、いろいろな「だるま回り」を組み合わせた連続技も紹介します。(3分44秒)
ETK-SET01-05,ETK0470S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,鉄棒,ひざかけ後ろ回り１,鉄棒に片方のひざをかけて後ろに回る「ひざかけ後ろ回り」を紹介します。また、友達に補助してもらう場合のポイントについても解説します。(3分56秒)
ETK-SET01-05,ETK0480S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,鉄棒,ひざかけ後ろ回り２,足の振る回数を減らしたり、反対の足をかけたりする「ひざかけ後ろ回り」を紹介します。また、「ひざかけ前回り」と「ひざかけ後ろ回り」を組み合わせた運動も紹介します。(3分37秒)
ETK-SET01-05,ETK0490S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,鉄棒,こうもり振り下り,両ひざを鉄棒にかけてぶら下がり、かけた足を離して下りる「こうもり振り下り」のポイントや悪い例などを紹介します。(3分14秒)
ETK-SET01-06,ETK0500S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,マット,動物歩き,「クマ歩き」・「ウサギとび」・「アザラシ」・「クモ歩き」など、動物の動きに似た体の動かし方を紹介します。(3分52秒)
ETK-SET01-06,ETK0510S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,マット,逆さになれる運動１,左右の腕を交互に動かして進む「手おし車」や、壁を使って逆さの姿勢になる「よじのぼり逆立ち」のポイントを解説します。また、「よじのぼり逆立ち」でジャンケンゲームをするようすも紹介します。(3分46秒)
ETK-SET01-06,ETK0520S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,マット,逆さになれる運動２,頭をマットにつけて逆さになる「頭つき逆立ち」や、壁を使った「かべ逆立ち」のポイントを解説します。また、「スピードかべ逆立ち」など、いろいろな壁逆立ちについても紹介します。(4分15秒)
ETK-SET01-06,ETK0530S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,マット,前回り,代表的な転がる運動の一つである「前回り」を紹介します。また、回り始めや終わりをくふうした、いろいろな前回りも紹介します。(3分26秒)
ETK-SET01-06,ETK0540S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,マット,後ろ回り,後ろに回転する「後ろ回り」のポイントや悪い例などを紹介します。また、坂道を使って回転の勢いをつける練習のしかたも紹介します。(2分30秒)
ETK-SET01-06,ETK0550S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,マット,開きゃく前転,両足を伸ばした前転から、足を開いて起きあがる「開きゃく前転」のポイントや悪い例などを紹介します。また、坂道や段差を使った練習のしかたも紹介します。(2分56秒)
ETK-SET01-06,ETK0560S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,マット,開きゃく後転,両足を伸ばした後転から、足を開いて起きあがる「開きゃく後転」のポイントや悪い例などを紹介します。また、坂道や段差を使った練習のしかたも紹介します。(2分37秒)
ETK-SET01-06,ETK0570S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,マット,とび前転,足と手をマットから一瞬離して前転する「とび前転」を紹介します。また、とび前転で、友達やミニマットを跳び越える運動も紹介します。(2分37秒)
ETK-SET01-06,ETK0580S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,マット,倒立前転,倒立の姿勢から、腕を曲げて前転をする「倒立前転」を紹介します。また、友達に補助してもらう方法や頭つき逆立ちからの前転など、倒立前転の練習のしかたを紹介します。(2分49秒)
ETK-SET01-06,ETK0590S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,マット,側転１,腕で体を支えながら横方向に回転する「側転」を紹介します。また、「川わたり」や「大の字回り」など、側転につながる運動も紹介します。(3分31秒)
ETK-SET01-06,ETK0600S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,マット,側転２,片手での側転や、ひねりを加えた側転など、いろいろな「側転」を紹介します。(2分20秒)
ETK-SET01-06,ETK0610S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,マット,ハンドスプリング,腕で体を支え、前に回転して着地する「ハンドスプリング」のポイントや練習のしかたを紹介します。また、ハンドスプリングにつながる運動についても紹介します。(3分37秒)
ETK-SET01-06,ETK0620S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,マット,技の組み合わせ・シンクロマット,オリジナルの連続技や技の組み合わせを紹介します。また、みんなで同じ動きをしたり、動く方向をくふうした「シンクロマット」も紹介します。(4分31秒)
ETK-SET01-07,ETK0630S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,長なわとび,くぐりぬけ・ゆうびんやさん,長なわの持ち方と回し方の基本を説明します。また、「くぐりぬけ」・「大なみ小なみ」・「ゆうびんやさん」の運動のしかたやポイントなどを紹介します。(5分14秒)
ETK-SET01-07,ETK0640S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,長なわとび,かぶりとび,「かぶりとび」のなわの回し方や跳び方のポイントを解説します。また、「0の字とび」や「8の字とび」のポイントについても紹介します。(5分23秒)
ETK-SET01-07,ETK0650S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,長なわとび,むかえとび,「むかえとび」のなわの回し方や跳び方のポイントを解説します。また、何回跳べるか挑戦するようすも紹介します。(2分38秒)
ETK-SET01-07,ETK0660S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,長なわとび,人数とび,長なわの中に2人以上の人が入って跳ぶ「人数とび」の、なわの回し方や跳び方のポイントを紹介します。また、人数を増やして何回跳べるか挑戦するようすも紹介します。(2分31秒)
ETK-SET01-07,ETK0670S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,長なわとび,手つなぎとび,手をつないでなわを跳ぶ「手つなぎとび」の、なわの回し方や跳び方のポイントについて紹介します。また、人数を増やして何回跳べるか挑戦するようすも紹介します。(2分44秒)
ETK-SET01-07,ETK0680S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,長なわとび,長短とび,回っている長なわの中で、短なわ跳びをする「長短とび」のポイントを解説します。また、「あやとび」や「二重とび」などに挑戦するようすも紹介します。(2分52秒)
ETK-SET01-07,ETK0690S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,長なわとび,ひょうたんとび,かぶりとむかえの両方の跳び方を取り入れた「ひょうたんとび」のポイントや悪い例などを解説します。また、「ひょうたん2人とび」も紹介します。(3分57秒)
ETK-SET01-07,ETK0700S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,長なわとび,ダブルダッチ,2本のなわを交互に回し、それに合わせて跳ぶ「ダブルダッチ」のポイントや悪い例などを解説します。また、いろいろな「ダブルダッチ」の跳び方も紹介します。(5分27秒)
ETK-SET01-07,ETK0710S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,長なわとび,組み合わせ連続とび,いろいろな跳びかたをくふうして組み合わせた、各グループオリジナルの「連続とび」を紹介します。(3分10秒)
ETK-SET01-08,ETK1010S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,体つくり運動　低・中学年,おにごっこ-おにごっこ,「おにごっこ」の基本的な約束とポイントを説明します。（５８秒）
ETK-SET01-08,ETK1020S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,体つくり運動　低・中学年,おにごっこ-ふえおに,「ふえおに」の約束や遊んでいるようすを紹介します。（５７秒）
ETK-SET01-08,ETK1030S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,体つくり運動　低・中学年,おにごっこ-こおりおに,「こおりおに」の約束や遊んでいるようすを紹介します。（１分）
ETK-SET01-08,ETK1040S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,体つくり運動　低・中学年,おにごっこ-手つなぎおに,「手つなぎおに」の約束や遊んでいるようすを紹介します。（１分８秒）
ETK-SET01-08,ETK1050S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,体つくり運動　低・中学年,おにごっこ-しっぽとり,「しっぽとり」の約束や遊んでいるようすを紹介します。（１分８秒）
ETK-SET01-08,ETK1060S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,体つくり運動　低・中学年,２人組の運動-おんぶ,仲間を背負って歩く「おんぶ」のポイントや失敗例などを紹介します。（１分）
ETK-SET01-08,ETK1070S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,体つくり運動　低・中学年,２人組の運動-おんぶじゃんけん,楽しみながらも背負う力をつけていくことができる「おんぶじゃんけん」を紹介します。（５９秒）
ETK-SET01-08,ETK1080S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,体つくり運動　低・中学年,２人組の運動-手おし車,仲間に足を持ってもらい、手で前に歩く「手おし車」のポイントや失敗例などを紹介します。（１分１５秒）
ETK-SET01-08,ETK1090S,小学校　１～６年　体育　ショートコンテンツシリーズ　全13タイトル,体つくり運動　低・中学年,２人組の運動-馬とび,友達がつくる馬をとびこす「馬とび」のポイントや失敗例などを紹介します。（１分３１秒）
